,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7,15,13,13,13,0.019696
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127,327,268,234,220,0.248608
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77,366,231,272,199,0.286218
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824,88886,66854,68141,56510,84.158627
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849,11801,8647,9038,7170,13.111801
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388,10585,8369,7934,7066,11.001267
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263,23746,17677,17786,15109,22.943141
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821,14735,11172,10907,9460,13.88909
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865,18666,14536,14022,12476,18.044374
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571,1691,1301,1241,1103,1.241117
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257,654,529,455,436,0.421724
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76,204,164,146,138,0.165463
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089,35667,27885,26257,23686,31.352727
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783,5284,3992,3877,3366,4.991124
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103,254,200,174,163,0.17613
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255,720,548,515,453,0.563914
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106,459,285,368,249,0.358599
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510,1603,1219,1187,1040,1.272484
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126,483,326,358,267,0.497552
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63,162,134,118,114,0.097435
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84,224,179,159,147,0.156423
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67,175,143,131,123,0.104605
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244,16365,12587,12232,10734,16.324124
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228,628,498,451,420,0.455388
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15,26,22,18,18,0.018638
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841,5962,4440,4458,3785,6.596913
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78,201,163,143,136,0.146933
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164,445,359,317,300,0.298288
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287,748,597,527,492,0.525154
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58,134,112,97,93,0.083159
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263,695,548,495,454,0.52163
urf1_149.qasm,benchmarking/ibmq/urf1_149.qasm,184896,99587,308423,231536,227540,189797,308.911601
mini_alu_305.qasm,benchmarking/ibmq/mini_alu_305.qasm,205,71,268,202,192,170,0.210355
4mod7-v0_94.qasm,benchmarking/ibmq/4mod7-v0_94.qasm,194,94,232,186,159,152,0.159775
z4_268.qasm,benchmarking/ibmq/z4_268.qasm,3105,1646,5203,3906,3862,3285,4.889992
cm82a_208.qasm,benchmarking/ibmq/cm82a_208.qasm,682,339,987,749,702,621,0.798996
sao2_257.qasm,benchmarking/ibmq/sao2_257.qasm,38609,19565,65385,48494,48518,40682,73.424808
aj-e11_165.qasm,benchmarking/ibmq/aj-e11_165.qasm,183,88,228,180,160,149,0.150334
misex1_241.qasm,benchmarking/ibmq/misex1_241.qasm,4845,2678,7918,6096,5812,5179,7.999698
alu-v0_26.qasm,benchmarking/ibmq/alu-v0_26.qasm,116,51,129,100,93,85,0.074705
sym6_316.qasm,benchmarking/ibmq/sym6_316.qasm,302,137,504,352,383,293,0.492578
decod24-bdd_294.qasm,benchmarking/ibmq/decod24-bdd_294.qasm,105,42,106,86,71,70,0.084508
miller_11.qasm,benchmarking/ibmq/miller_11.qasm,82,31,72,60,50,50,0.044647
sqn_258.qasm,benchmarking/ibmq/sqn_258.qasm,10255,5460,17299,12946,12838,11031,15.769825
rd32-v1_68.qasm,benchmarking/ibmq/rd32-v1_68.qasm,68,23,39,31,24,24,0.032521
dc1_220.qasm,benchmarking/ibmq/dc1_220.qasm,1946,1040,3018,2354,2177,1955,2.721922
hwb6_56.qasm,benchmarking/ibmq/hwb6_56.qasm,6755,3738,10691,8268,7745,6941,8.605488
decod24-enable_126.qasm,benchmarking/ibmq/decod24-enable_126.qasm,370,192,500,392,350,324,0.343706
one-two-three-v2_100.qasm,benchmarking/ibmq/one-two-three-v2_100.qasm,101,42,121,101,90,84,0.096163
mod5adder_127.qasm,benchmarking/ibmq/mod5adder_127.qasm,587,304,889,702,647,594,0.640127
urf3_279.qasm,benchmarking/ibmq/urf3_279.qasm,125394,70704,233150,173723,181484,147866,234.083147
one-two-three-v3_101.qasm,benchmarking/ibmq/one-two-three-v3_101.qasm,102,42,104,79,71,65,0.077697
4mod5-v0_20.qasm,benchmarking/ibmq/4mod5-v0_20.qasm,52,14,32,26,23,22,0.024527
mod8-10_177.qasm,benchmarking/ibmq/mod8-10_177.qasm,472,253,699,555,503,466,0.482809
ising_model_13.qasm,benchmarking/ibmq/ising_model_13.qasm,665,73,550,199,375,159,0.881051
sf_276.qasm,benchmarking/ibmq/sf_276.qasm,810,437,1162,936,824,780,0.828437
mlp4_245.qasm,benchmarking/ibmq/mlp4_245.qasm,18884,10330,33355,25464,25120,21897,36.716589
cm85a_209.qasm,benchmarking/ibmq/cm85a_209.qasm,11446,6376,20087,16138,15100,13693,21.718281
cm42a_207.qasm,benchmarking/ibmq/cm42a_207.qasm,1808,942,3014,2272,2235,1940,2.691389
4gt12-v1_89.qasm,benchmarking/ibmq/4gt12-v1_89.qasm,260,132,349,273,248,227,0.231722
alu-v0_27.qasm,benchmarking/ibmq/alu-v0_27.qasm,68,23,60,46,44,39,0.03309
pm1_249.qasm,benchmarking/ibmq/pm1_249.qasm,1808,942,3014,2272,2235,1940,2.700094
mod5mils_65.qasm,benchmarking/ibmq/mod5mils_65.qasm,67,23,52,43,37,36,0.03356
9symml_195.qasm,benchmarking/ibmq/9symml_195.qasm,34913,19237,59332,45096,44098,38349,57.246752
mod10_171.qasm,benchmarking/ibmq/mod10_171.qasm,276,141,368,294,259,247,0.236164
ex1_226.qasm,benchmarking/ibmq/ex1_226.qasm,39,7,15,13,13,13,0.013674
ex-1_166.qasm,benchmarking/ibmq/ex-1_166.qasm,51,14,27,22,18,18,0.0246
decod24-v1_41.qasm,benchmarking/ibmq/decod24-v1_41.qasm,117,52,125,102,86,83,0.078554
