,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7,9,6,5,5,0.015803
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127,254,189,91,83,0.170370
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77,266,152,94,71,0.166516
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824,63064,44069,21521,18290,54.303430
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849,9462,6047,2728,2221,9.025830
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388,7507,5380,2370,2018,6.944198
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263,17477,12017,5262,4378,15.980473
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821,11055,7687,3482,2958,9.981381
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865,13272,9306,4175,3519,12.236165
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571,1253,874,399,336,0.804659
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257,524,366,178,154,0.204882
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76,153,112,55,48,0.060621
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089,26289,18759,8119,6789,21.430115
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783,3921,2713,1244,1057,3.422449
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103,204,146,71,63,0.134434
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255,555,391,187,159,0.354733
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106,271,167,98,68,0.318434
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510,1142,763,357,294,0.897632
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126,347,210,115,98,0.303214
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63,124,94,47,44,0.056303
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84,173,126,61,55,0.131474
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67,131,99,51,48,0.082878
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244,11879,8334,3761,3199,11.756150
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228,471,338,151,134,0.306165
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15,23,18,11,11,0.013927
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841,4479,3064,1338,1107,4.131640
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78,163,118,56,53,0.128596
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164,339,245,112,100,0.173317
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287,612,439,201,180,0.394093
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58,105,81,43,39,0.047392
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263,552,396,182,158,0.379173
urf1_149.qasm,benchmarking/ibmq/urf1_149.qasm,184896,99587,231358,156506,75338,68153,188.320360
mini_alu_305.qasm,benchmarking/ibmq/mini_alu_305.qasm,205,71,208,127,69,58,0.136337
4mod7-v0_94.qasm,benchmarking/ibmq/4mod7-v0_94.qasm,194,94,185,132,65,59,0.129905
z4_268.qasm,benchmarking/ibmq/z4_268.qasm,3105,1646,3816,2621,1174,976,3.180067
cm82a_208.qasm,benchmarking/ibmq/cm82a_208.qasm,682,339,777,508,255,208,0.515978
sao2_257.qasm,benchmarking/ibmq/sao2_257.qasm,38609,19565,48438,32745,15005,12123,51.028746
