,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7,7,5,5,5,0.045787
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127,242,153,97,90,0.164762
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77,234,122,98,72,0.066453
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824,55983,36771,22993,20307,35.555999
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849,8266,4697,2928,2468,5.606307
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388,6627,4213,2512,2206,4.312167
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263,15013,9152,5695,4829,10.836602
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821,9675,6121,3708,3244,7.458335
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865,11718,7335,4465,3892,9.284008
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571,1150,714,426,369,0.686652
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257,493,324,198,183,0.111345
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76,144,97,58,54,0.045522
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089,23829,15177,8718,7608,19.109447
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783,3521,2219,1349,1194,2.305366
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103,200,132,76,70,0.160503
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255,509,325,199,177,0.224883
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106,245,146,98,70,0.360098
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510,1056,664,382,323,0.844499
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126,305,179,118,103,0.183013
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63,109,73,49,48,0.030615
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84,167,115,65,59,0.121084
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67,114,78,53,52,0.035112
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244,10499,6723,3922,3421,8.526837
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228,441,290,169,151,0.214879
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15,20,13,11,11,0.005942
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841,3809,2378,1439,1263,2.931079
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78,147,95,57,54,0.121095
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164,313,190,123,110,0.124180
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287,551,365,215,198,0.268983
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58,103,75,44,40,0.050249
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263,536,349,193,170,0.387253
