,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7,10,6,8,6,0.008910
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127,276,205,181,167,0.252422
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77,258,123,164,99,0.166054
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824,62866,44473,42139,36781,65.752109
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849,7767,5524,5348,4376,10.917827
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388,7601,5368,4950,4345,9.252026
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263,17858,12164,11898,9997,21.075077
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821,10743,7400,6917,5940,12.087989
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865,12723,8647,8079,6978,13.637672
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571,1162,787,712,633,0.955147
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257,523,377,324,301,0.357581
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76,170,129,112,106,0.121713
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089,26488,18027,17078,14695,25.656837
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783,4085,2846,2678,2329,4.577316
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103,230,167,150,135,0.180547
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255,610,428,405,355,0.573471
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106,284,163,193,135,0.246685
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510,1204,806,788,669,1.232115
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126,392,241,268,198,0.480559
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63,130,101,86,82,0.096871
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84,178,129,113,106,0.128550
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67,140,110,96,91,0.118726
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244,11642,7881,7509,6391,12.934934
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228,496,352,319,287,0.386530
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15,26,22,18,18,0.016777
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841,4321,2895,2817,2365,5.174338
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78,162,118,104,99,0.113450
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164,375,286,247,235,0.296128
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287,594,408,373,329,0.507527
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58,125,101,88,85,0.080946
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263,494,338,294,269,0.430107
urf1_149.qasm,benchmarking/ibmq/urf1_149.qasm,184896,99587,226751,157393,145868,128518,226.109922
mini_alu_305.qasm,benchmarking/ibmq/mini_alu_305.qasm,205,71,201,118,125,97,0.169913
4mod7-v0_94.qasm,benchmarking/ibmq/4mod7-v0_94.qasm,194,94,196,134,123,112,0.141492
z4_268.qasm,benchmarking/ibmq/z4_268.qasm,3105,1646,3892,2732,2550,2237,3.991154
cm82a_208.qasm,benchmarking/ibmq/cm82a_208.qasm,682,339,763,550,479,438,0.744379
sao2_257.qasm,benchmarking/ibmq/sao2_257.qasm,38609,19565,46875,30633,30008,24538,60.823057
aj-e11_165.qasm,benchmarking/ibmq/aj-e11_165.qasm,183,88,206,159,138,134,0.168451
misex1_241.qasm,benchmarking/ibmq/misex1_241.qasm,4845,2678,5438,3601,3332,2893,6.035140
