                                 Size out  Depth out  CX count out  \
xor5_254.qasm                           9          6             5   
graycode6_47.qasm                       5          5             5   
ex1_226.qasm                            9          6             5   
4gt11_84.qasm                          21         15             9   
4mod5-v0_20.qasm                       23         17            10   
ex-1_166.qasm                          22         16             9   
4mod5-v1_22.qasm                       24         17            11   
mod5d1_63.qasm                         28         22            13   
ham3_102.qasm                          23         18            11   
4gt11_83.qasm                          29         23            14   
4gt11_82.qasm                          37         28            18   
rd32-v0_66.qasm                        41         32            16   
alu-v0_27.qasm                         45         32            17   
4mod5-v1_24.qasm                       44         33            16   
4mod5-v0_19.qasm                       42         29            16   
mod5mils_65.qasm                       42         33            16   
rd32-v1_68.qasm                        43         34            16   
alu-v1_28.qasm                         46         33            18   
alu-v2_33.qasm                         45         31            17   
alu-v4_37.qasm                         46         33            18   
alu-v3_35.qasm                         46         33            18   
3_17_13.qasm                           42         33            17   
alu-v1_29.qasm                         46         33            17   
miller_11.qasm                         59         43            23   
alu-v3_34.qasm                         64         46            24   
decod24-v2_43.qasm                     63         46            22   
decod24-v0_38.qasm                     62         47            23   
mod5d2_64.qasm                         64         49            25   
4gt13_92.qasm                          78         58            28   
4gt13-v1_93.qasm                       77         57            28   
4mod5-v0_18.qasm                       84         67            31   
decod24-bdd_294.qasm                   87         60            32   
one-two-three-v2_100.qasm              76         52            28   
one-two-three-v3_101.qasm              80         57            30   
4mod5-v1_23.qasm                       87         69            32   
4mod5-bdd_287.qasm                     84         60            31   
rd32_270.qasm                         103         75            36   
4gt5_75.qasm                           99         74            36   
alu-bdd_288.qasm                      100         71            36   
alu-v0_26.qasm                         99         69            34   
decod24-v1_41.qasm                    100         75            36   
rd53_138.qasm                         163         90            58   
4gt5_76.qasm                          105         81            43   
4gt13_91.qasm                         124         94            47   
cnt3-5_179.qasm                       229         90            80   
qft_10.qasm                           240         90            90   
4gt13_90.qasm                         131         99            51   
alu-v4_36.qasm                        133         97            48   
mini_alu_305.qasm                     208        127            69   
ising_model_10.qasm                   480         70            90   
ising_model_16.qasm                   786         71           150   
ising_model_13.qasm                   633         71           120   
4gt5_77.qasm                          153        112            55   
sys6-v0_111.qasm                      266        152            94   
one-two-three-v1_99.qasm              163        118            56   
one-two-three-v0_98.qasm              173        126            61   
decod24-v3_45.qasm                    175        130            59   
4gt10-v1_81.qasm                      174        128            61   
aj-e11_165.qasm                       178        127            65   
4mod7-v0_94.qasm                      185        132            65   
alu-v2_32.qasm                        187        133            65   
rd73_140.qasm                         282        154           100   
4mod7-v1_96.qasm                      191        144            66   
4gt4-v0_80.qasm                       216        149            72   
mod10_176.qasm                        204        146            71   
0410184_169.qasm                      271        167            98   
qft_16.qasm                           634        193           229   
4gt12-v0_88.qasm                      228        155            77   
rd84_142.qasm                         407        196           141   
rd53_311.qasm                         347        210           115   
4_49_16.qasm                          254        189            91   
sym9_146.qasm                         410        242           142   
4gt12-v1_89.qasm                      275        201            90   
4gt12-v0_87.qasm                      294        201           101   
4gt4-v0_79.qasm                       271        196            94   
hwb4_49.qasm                          274        211           104   
sym6_316.qasm                         356        216           120   
4gt12-v0_86.qasm                      300        207           105   
4gt4-v0_72.qasm                       301        209           101   
4gt4-v0_78.qasm                       278        201            96   
mod10_171.qasm                        286        205            99   
4gt4-v1_74.qasm                       316        219           105   
rd53_135.qasm                         354        233           121   
mini-alu_167.qasm                     339        245           112   
one-two-three-v0_97.qasm              350        263           120   
ham7_104.qasm                         387        276           137   
decod24-enable_126.qasm               395        272           136   
mod8-10_178.qasm                      411        294           134   
cnt3-5_180.qasm                       566        324           198   
ex3_229.qasm                          471        338           151   
4gt4-v0_73.qasm                       466        345           159   
mod8-10_177.qasm                      526        374           175   
C17_204.qasm                          555        391           187   
alu-v2_31.qasm                        524        366           178   
rd53_131.qasm                         552        396           182   
alu-v2_30.qasm                        612        439           201   
mod5adder_127.qasm                    663        477           212   
rd53_133.qasm                         687        479           230   
cm82a_208.qasm                        777        508           255   
majority_239.qasm                     709        502           237   
ex2_227.qasm                          764        543           246   
sf_276.qasm                           908        641           286   
sf_274.qasm                           907        639           290   
con1_216.qasm                        1142        763           357   
wim_266.qasm                         1211        807           380   
rd53_130.qasm                        1253        874           399   
f2_232.qasm                          1466       1019           473   
cm152a_212.qasm                      1478       1036           472   
rd53_251.qasm                        1578       1121           513   
hwb5_53.qasm                         1586       1185           557   
cm42a_207.qasm                       2137       1440           673   
pm1_249.qasm                         2137       1440           673   
dc1_220.qasm                         2404       1631           735   
