                                 CX depth out     Runtime  
xor5_254.qasm                               5    0.013231  
graycode6_47.qasm                           5    0.016795  
ex1_226.qasm                                5    0.011643  
4gt11_84.qasm                               6    0.012564  
4mod5-v0_20.qasm                            8    0.010238  
ex-1_166.qasm                               7    0.009661  
4mod5-v1_22.qasm                            9    0.012209  
mod5d1_63.qasm                              9    0.011403  
ham3_102.qasm                               9    0.010776  
4gt11_83.qasm                              12    0.011724  
4gt11_82.qasm                              15    0.016150  
rd32-v0_66.qasm                            12    0.011105  
alu-v0_27.qasm                             11    0.018652  
4mod5-v1_24.qasm                           10    0.092538  
4mod5-v0_19.qasm                           12    0.018903  
mod5mils_65.qasm                           12    0.021287  
rd32-v1_68.qasm                            12    0.012287  
alu-v1_28.qasm                             12    0.013038  
alu-v2_33.qasm                             11    0.012710  
alu-v4_37.qasm                             11    0.012817  
alu-v3_35.qasm                             11    0.012430  
3_17_13.qasm                               12    0.011595  
alu-v1_29.qasm                             11    0.013424  
miller_11.qasm                             17    0.013016  
alu-v3_34.qasm                             17    0.019253  
decod24-v2_43.qasm                         16    0.013588  
decod24-v0_38.qasm                         16    0.013902  
mod5d2_64.qasm                             20    0.017860  
4gt13_92.qasm                              17    0.084495  
4gt13-v1_93.qasm                           19    0.087750  
4mod5-v0_18.qasm                           21    0.021299  
decod24-bdd_294.qasm                       23    0.023294  
one-two-three-v2_100.qasm                  22    0.016364  
one-two-three-v3_101.qasm                  21    0.015658  
4mod5-v1_23.qasm                           21    0.022036  
4mod5-bdd_287.qasm                         25    0.019458  
rd32_270.qasm                              23    0.022992  
4gt5_75.qasm                               24    0.020554  
alu-bdd_288.qasm                           25    0.086463  
alu-v0_26.qasm                             28    0.030688  
decod24-v1_41.qasm                         25    0.088228  
rd53_138.qasm                              41    0.040705  
4gt5_76.qasm                               31    0.029876  
4gt13_91.qasm                              37    0.023254  
cnt3-5_179.qasm                            43    0.175571  
qft_10.qasm                                34    0.048620  
4gt13_90.qasm                              39    0.030032  
alu-v4_36.qasm                             31    0.118527  
mini_alu_305.qasm                          38    0.055437  
ising_model_10.qasm                        20    0.022830  
ising_model_16.qasm                        20    0.048554  
ising_model_13.qasm                        20    0.036251  
4gt5_77.qasm                               36    0.025141  
sys6-v0_111.qasm                           54    0.056879  
one-two-three-v1_99.qasm                   37    0.089201  
one-two-three-v0_98.qasm                   41    0.088003  
decod24-v3_45.qasm                         37    0.099237  
4gt10-v1_81.qasm                           42    0.087274  
aj-e11_165.qasm                            46    0.036837  
