                                 Size out  Depth out  CX count out  \
xor5_254.qasm                           7          5             5   
graycode6_47.qasm                       5          5             5   
ex1_226.qasm                            7          5             5   
4gt11_84.qasm                          18         11             9   
4mod5-v0_20.qasm                       20         12            10   
ex-1_166.qasm                          19         12             9   
4mod5-v1_22.qasm                       21         12            11   
mod5d1_63.qasm                         22         13            13   
ham3_102.qasm                          20         13            11   
4gt11_83.qasm                          27         22            14   
4gt11_82.qasm                          31         26            18   
rd32-v0_66.qasm                        34         20            16   
alu-v0_27.qasm                         39         26            17   
4mod5-v1_24.qasm                       40         27            16   
4mod5-v0_19.qasm                       35         21            16   
mod5mils_65.qasm                       35         21            16   
rd32-v1_68.qasm                        36         21            16   
alu-v1_28.qasm                         38         22            18   
alu-v2_33.qasm                         41         29            17   
alu-v4_37.qasm                         40         26            18   
alu-v3_35.qasm                         40         26            18   
3_17_13.qasm                           36         22            17   
alu-v1_29.qasm                         38         22            17   
miller_11.qasm                         50         29            23   
alu-v3_34.qasm                         53         30            24   
decod24-v2_43.qasm                     52         30            22   
decod24-v0_38.qasm                     51         30            23   
mod5d2_64.qasm                         58         39            25   
4gt13_92.qasm                          71         42            29   
4gt13-v1_93.qasm                       72         42            29   
4mod5-v0_18.qasm                       72         47            31   
decod24-bdd_294.qasm                   80         50            32   
one-two-three-v2_100.qasm              75         49            32   
one-two-three-v3_101.qasm              73         44            32   
4mod5-v1_23.qasm                       73         47            32   
4mod5-bdd_287.qasm                     80         55            31   
rd32_270.qasm                          90         58            36   
4gt5_75.qasm                           94         63            38   
alu-bdd_288.qasm                       95         63            38   
alu-v0_26.qasm                         91         63            38   
decod24-v1_41.qasm                     94         59            36   
rd53_138.qasm                         145         85            60   
4gt5_76.qasm                          103         75            44   
4gt13_91.qasm                         109         73            49   
cnt3-5_179.qasm                       195         93            81   
qft_10.qasm                           214        125            88   
4gt13_90.qasm                         114         78            53   
alu-v4_36.qasm                        126         81            49   
mini_alu_305.qasm                     194         92            77   
ising_model_10.qasm                   480         70            90   
ising_model_16.qasm                   786         71           150   
ising_model_13.qasm                   633         71           120   
4gt5_77.qasm                          144         97            58   
sys6-v0_111.qasm                      234        122            98   
one-two-three-v1_99.qasm              147         95            57   
one-two-three-v0_98.qasm              167        115            65   
decod24-v3_45.qasm                    164        102            61   
4gt10-v1_81.qasm                      166        111            63   
aj-e11_165.qasm                       171        115            68   
4mod7-v0_94.qasm                      172        103            68   
alu-v2_32.qasm                        176        117            72   
rd73_140.qasm                         253        148           102   
4mod7-v1_96.qasm                      178        117            72   
4gt4-v0_80.qasm                       199        126            79   
mod10_176.qasm                        200        132            76   
0410184_169.qasm                      245        146            98   
qft_16.qasm                           561        255           230   
4gt12-v0_88.qasm                      209        136            83   
rd84_142.qasm                         380        167           153   
rd53_311.qasm                         305        179           118   
4_49_16.qasm                          242        153            97   
sym9_146.qasm                         368        206           146   
4gt12-v1_89.qasm                      255        175            95   
4gt12-v0_87.qasm                      269        167           109   
4gt4-v0_79.qasm                       256        166           104   
hwb4_49.qasm                          253        168           107   
sym6_316.qasm                         314        194           121   
4gt12-v0_86.qasm                      274        172           113   
4gt4-v0_72.qasm                       285        179           113   
4gt4-v0_78.qasm                       259        165           107   
mod10_171.qasm                        261        167           108   
4gt4-v1_74.qasm                       290        173           119   
rd53_135.qasm                         320        207           129   
