                                 CX depth out     Runtime  
xor5_254.qasm                               5    0.039556  
graycode6_47.qasm                           5    0.080013  
ex1_226.qasm                                5    0.040629  
4gt11_84.qasm                               8    0.003155  
4mod5-v0_20.qasm                            9    0.011341  
ex-1_166.qasm                               9    0.002928  
4mod5-v1_22.qasm                           10    0.014103  
mod5d1_63.qasm                             11    0.009720  
ham3_102.qasm                              11    0.003000  
4gt11_83.qasm                              13    0.008977  
4gt11_82.qasm                              17    0.014806  
rd32-v0_66.qasm                            16    0.003221  
alu-v0_27.qasm                             15    0.005292  
4mod5-v1_24.qasm                           13    0.076117  
4mod5-v0_19.qasm                           16    0.006011  
mod5mils_65.qasm                           16    0.004795  
rd32-v1_68.qasm                            16    0.003505  
alu-v1_28.qasm                             16    0.009090  
alu-v2_33.qasm                             14    0.007496  
alu-v4_37.qasm                             15    0.005525  
alu-v3_35.qasm                             15    0.005746  
3_17_13.qasm                               17    0.003370  
alu-v1_29.qasm                             15    0.005263  
miller_11.qasm                             23    0.003543  
alu-v3_34.qasm                             23    0.003985  
decod24-v2_43.qasm                         22    0.003807  
decod24-v0_38.qasm                         23    0.003644  
mod5d2_64.qasm                             22    0.007534  
4gt13_92.qasm                              20    0.062656  
4gt13-v1_93.qasm                           27    0.060211  
4mod5-v0_18.qasm                           29    0.005561  
decod24-bdd_294.qasm                       27    0.005748  
one-two-three-v2_100.qasm                  26    0.012038  
one-two-three-v3_101.qasm                  28    0.012551  
4mod5-v1_23.qasm                           29    0.005447  
4mod5-bdd_287.qasm                         31    0.013104  
rd32_270.qasm                              32    0.006962  
4gt5_75.qasm                               30    0.010921  
alu-bdd_288.qasm                           33    0.069606  
alu-v0_26.qasm                             31    0.014438  
decod24-v1_41.qasm                         28    0.067828  
rd53_138.qasm                              45    0.014516  
4gt5_76.qasm                               40    0.024669  
4gt13_91.qasm                              43    0.013912  
cnt3-5_179.qasm                            36    0.142883  
qft_10.qasm                                44    0.031811  
4gt13_90.qasm                              46    0.022185  
alu-v4_36.qasm                             43    0.083610  
mini_alu_305.qasm                          50    0.031298  
ising_model_10.qasm                        20    0.107646  
ising_model_16.qasm                        20    0.184804  
ising_model_13.qasm                        20    0.154522  
4gt5_77.qasm                               48    0.019902  
sys6-v0_111.qasm                           53    0.039864  
one-two-three-v1_99.qasm                   50    0.090356  
one-two-three-v0_98.qasm                   44    0.080990  
decod24-v3_45.qasm                         39    0.074679  
4gt10-v1_81.qasm                           50    0.075410  
aj-e11_165.qasm                            54    0.031248  
4mod7-v0_94.qasm                           58    0.072282  
alu-v2_32.qasm                             61    0.015988  
rd73_140.qasm                              68    0.044429  
4mod7-v1_96.qasm                           68    0.018443  
4gt4-v0_80.qasm                            58    0.033434  
mod10_176.qasm                             64    0.087526  
0410184_169.qasm                           62    0.213093  
qft_16.qasm                                96    0.167331  
4gt12-v0_88.qasm                           71    0.027455  
rd84_142.qasm                              79    0.089596  
rd53_311.qasm                              79    0.064738  
4_49_16.qasm                               65    0.099465  
sym9_146.qasm                              87    0.073495  
4gt12-v1_89.qasm                           81    0.040307  
4gt12-v0_87.qasm                           93    0.068874  
4gt4-v0_79.qasm                            84    0.051729  
hwb4_49.qasm                               75    0.036935  
sym6_316.qasm                              77    0.079596  
4gt12-v0_86.qasm                           82    0.076683  
4gt4-v0_72.qasm                            90    0.030788  
4gt4-v0_78.qasm                            80    0.063012  
mod10_171.qasm                             97    0.026466  
4gt4-v1_74.qasm                            96    0.050222  
rd53_135.qasm                             111    0.045470  
mini-alu_167.qasm                          78    0.061966  
one-two-three-v0_97.qasm                   93    0.111279  
ham7_104.qasm                             106    0.138587  
decod24-enable_126.qasm                   104    0.135179  
mod8-10_178.qasm                           86    0.096086  
cnt3-5_180.qasm                           139    0.132593  
ex3_229.qasm                              116    0.174884  
4gt4-v0_73.qasm                           110    0.125102  
mod8-10_177.qasm                          154    0.071097  
C17_204.qasm                              138    0.141075  
alu-v2_31.qasm                            155    0.055895  
rd53_131.qasm                             133    0.212264  
alu-v2_30.qasm                            155    0.186529  
mod5adder_127.qasm                        180    0.171565  
rd53_133.qasm                             157    0.204294  
cm82a_208.qasm                            213    0.094921  
majority_239.qasm                         190    0.182229  
ex2_227.qasm                              173    0.219074  
sf_276.qasm                               252    0.172386  
sf_274.qasm                               258    0.159129  
con1_216.qasm                             260    0.379168  
wim_266.qasm                              290    0.328578  
rd53_130.qasm                             293    0.262480  
f2_232.qasm                               337    0.321425  
cm152a_212.qasm                           333    0.456977  
rd53_251.qasm                             398    0.365153  
hwb5_53.qasm                              374    0.361833  
cm42a_207.qasm                            516    0.489480  
pm1_249.qasm                              516    0.496664  
dc1_220.qasm                              584    0.520390  
squar5_261.qasm                           588    0.557916  
z4_268.qasm                               842    1.122682  
sqrt8_260.qasm                            817    0.978743  
radd_250.qasm                             955    1.073624  
adr4_197.qasm                             937    1.254246  
sym6_145.qasm                            1228    0.875994  
misex1_241.qasm                          1367    1.513075  
rd73_252.qasm                            1450    1.928337  
cycle10_2_110.qasm                       1677    2.322298  
hwb6_56.qasm                             1982    1.539704  
square_root_7.qasm                       2095    2.603221  
ham15_107.qasm                           2645    2.841877  
dc2_222.qasm                             2570    3.465498  
sqn_258.qasm                             2813    3.388704  
inc_237.qasm                             3075    3.312822  
cm85a_209.qasm                           3185    4.098727  
rd84_253.qasm                            3644    4.868364  
co14_215.qasm                            4461    6.904373  
root_255.qasm                            4472    5.489957  
mlp4_245.qasm                            5158    7.423368  
